Date,Open,High,Low,Close
11-05-2023,3243.9912,3293.0562,3299.6052,3318.330042
12-05-2023,3252.8804,3306.5625,3313.8376,3291.870496
13-05-2023,3258.8628,3318.9163,3330.3394,3304.941011
14-05-2023,3262.2017,3330.0652,3348.342,3256.347017
15-05-2023,3263.5417,3340.1902,3367.1035,3221.956452
16-05-2023,3263.5232,3349.5066,3386.065,3241.802983
17-05-2023,3262.6028,3358.1865,3404.871,3206.764031
18-05-2023,3261.062,3366.3406,3423.309,3193.844949
19-05-2023,3259.0771,3374.0405,3441.2751,3225.532502
20-05-2023,3256.7466,3381.3242,3458.7153,3263.31804
21-05-2023,3254.1277,3388.2178,3475.607,3247.426023
22-05-2023,3251.2805,3394.7432,3491.9426,3166.487039
23-05-2023,3248.2368,3400.9211,3507.7163,3205.356943
24-05-2023,3245.0457,3406.7754,3522.9343,3267.058005
25-05-2023,3241.762,3412.3345,3537.6084,3273.810061
26-05-2023,3238.4387,3417.624,3551.749,3281.924546
27-05-2023,3235.1099,3422.6738,3565.371,3296.589014
28-05-2023,3231.809,3427.514,3578.4988,3282.456573
29-05-2023,3228.5808,3432.1694,3591.155,3296.589014
30-05-2023,3225.4536,3436.668,3603.3674,3282.456573
31-05-2023,3222.4539,3441.0342,3615.168,3296.589014
01-06-2023,3219.5984,3445.2908,3626.5847,3282.456573
02-06-2023,3216.921,3449.4597,3637.65,3296.589014
03-06-2023,3214.4163,3453.556,3648.3926,3282.456573
04-06-2023,3212.1064,3457.599,3658.844,3296.589014
05-06-2023,3209.9924,3461.6008,3669.0286,3282.456573
06-06-2023,3208.0784,3465.5728,3678.9731,3296.589014
07-06-2023,3206.3665,3469.5225,3688.7024,3282.456573
08-06-2023,3204.839,3473.46,3698.238,3296.589014
09-06-2023,3203.5,3477.3884,3707.5972,3282.456573
10-06-2023,3202.3381,3481.3105,3716.7964,3296.589014
11-06-2023,3201.344,3485.2295,3725.8503,3282.456573
12-06-2023,3200.4968,3489.1443,3734.77,3296.589014
13-06-2023,3199.7942,3493.055,3743.5662,3282.456573
14-06-2023,3199.2202,3496.9607,3752.2444,3296.589014
15-06-2023,3198.7595,3500.8577,3760.8108,3282.456573
16-06-2023,3198.3867,3504.741,3769.2646,3296.589014
17-06-2023,3198.0933,3508.6084,3777.6096,3282.456573
18-06-2023,3197.878,3512.4556,3785.8467,3296.589014
19-06-2023,3197.7112,3516.2783,3793.972,3282.456573
20-06-2023,3197.5894,3520.0718,3801.985,3296.589014
21-06-2023,3197.4902,3523.8328,3809.884,3282.456573
22-06-2023,3197.4187,3527.5554,3817.6619,3296.589014
23-06-2023,3197.3591,3531.2375,3825.3167,3282.456573
24-06-2023,3197.314,3534.8755,3832.8494,3296.589014
25-06-2023,3197.2568,3538.464,3840.2441,3282.456573
26-06-2023,3197.1904,3542.0002,3847.5032,3296.589014
27-06-2023,3197.113,3545.4822,3854.618,3282.456573
28-06-2023,3197.009,3548.9053,3861.5842,3296.589014
29-06-2023,3196.8699,3552.2686,3868.3987,3282.456573
30-06-2023,3196.6963,3555.5703,3875.0554,3296.589014
01-07-2023,3196.491,3558.8093,3881.5525,3282.456573
02-07-2023,3196.2502,3561.9849,3887.8887,3296.589014
03-07-2023,3195.9705,3565.0957,3894.0598,3282.456573
04-07-2023,3195.6472,3568.142,3900.0654,3296.589014
05-07-2023,3195.2915,3571.1252,3905.907,3282.456573
06-07-2023,3194.9058,3574.0437,3911.582,3296.589014
07-07-2023,3194.4768,3576.8984,3917.089,3282.456573
08-07-2023,3194.0117,3579.691,3922.431,3296.589014
09-07-2023,3193.5146,3582.4207,3927.6082,3282.456573
10-07-2023,3192.9817,3585.0906,3932.6233,3296.589014
11-07-2023,3192.4324,3587.7017,3937.478,3282.456573
12-07-2023,3191.8567,3590.2554,3942.1768,3296.589014
13-07-2023,3191.2598,3592.7522,3946.722,3282.456573
14-07-2023,3190.6445,3595.1943,3951.1172,3296.589014
15-07-2023,3190.0142,3597.5835,3955.3667,3282.456573
16-07-2023,3189.373,3599.9211,3959.4739,3296.589014
17-07-2023,3188.7227,3602.209,3963.4434,3282.456573
18-07-2023,3188.0671,3604.4482,3967.2803,3296.589014
19-07-2023,3187.408,3606.6404,3970.9878,3282.456573
20-07-2023,3186.749,3608.7866,3974.5715,3296.589014
21-07-2023,3186.0913,3610.8892,3978.036,3282.456573
22-07-2023,3185.4377,3612.949,3981.3845,3296.589014
23-07-2023,3184.79,3614.967,3984.6233,3282.456573
24-07-2023,3184.1497,3616.945,3987.7551,3296.589014
25-07-2023,3183.5178,3618.883,3990.785,3282.456573
26-07-2023,3182.896,3620.783,3993.7168,3296.589014
27-07-2023,3182.2854,3622.646,3996.5554,3282.456573
28-07-2023,3181.6865,3624.472,3999.3032,3296.589014
29-07-2023,3181.0994,3626.2625,4001.9639,3282.456573
30-07-2023,3180.5251,3628.0186,4004.5415,3296.589014
31-07-2023,3179.9634,3629.74,4007.0386,3282.456573
01-08-2023,3179.4148,3631.428,4009.4587,3296.589014
02-08-2023,3178.8782,3633.0833,4011.8044,3282.456573
03-08-2023,3178.3538,3634.7063,4014.0784,3296.589014
04-08-2023,3177.8418,3636.2976,4016.2837,3282.456573
05-08-2023,3177.3403,3637.8567,4018.421,3296.589014
06-08-2023,3176.85,3639.3862,4020.4941,3282.456573
07-08-2023,3176.3694,3640.8845,4022.504,3296.589014
08-08-2023,3175.8987,3642.3533,4024.453,3282.456573
09-08-2023,3175.4363,3643.792,4026.3433,3296.589014
10-08-2023,3174.9822,3645.2024,4028.1753,3282.456573
11-08-2023,3174.535,3646.5837,4029.9524,3296.589014
12-08-2023,3174.094,3647.9363,4031.674,3282.456573
13-08-2023,3173.659,3649.2617,4033.3433,3296.589014
14-08-2023,3173.229,3650.559,4034.9602,3282.456573
15-08-2023,3172.8032,3651.8296,4036.5266,3296.589014
16-08-2023,3172.3813,3653.0732,4038.044,3282.456573
17-08-2023,3171.9624,3654.2908,4039.5132,3296.589014
18-08-2023,3171.5461,3655.4827,4040.9358,3282.456573
19-08-2023,3171.132,3656.6484,4042.3123,3296.589014
20-08-2023,3170.7195,3657.7898,4043.6448,3282.456573
21-08-2023,3170.3083,3658.9067,4044.9336,3296.589014
22-08-2023,3169.8977,3659.9993,4046.18,3282.456573
23-08-2023,3169.4885,3661.0679,4047.3845,3296.589014
24-08-2023,3169.0793,3662.113,4048.5496,3282.456573
25-08-2023,3168.6704,3663.1357,4049.6755,3296.589014
26-08-2023,3168.262,3664.136,4050.7632,3282.456573
27-08-2023,3167.8535,3665.1145,4051.8142,3296.589014
28-08-2023,3167.4448,3666.071,4052.8293,3282.456573
29-08-2023,3167.0366,3667.0063,4053.8093,3296.589014
30-08-2023,3166.6287,3667.9216,4054.7563,3282.456573
31-08-2023,3166.2202,3668.8167,4055.6697,3296.589014
01-09-2023,3165.8127,3669.6914,4056.552,3282.456573
02-09-2023,3165.405,3670.5474,4057.404,3296.589014
03-09-2023,3164.998,3671.3843,4058.226,3282.456573
04-09-2023,3164.5916,3672.203,4059.02,3296.589014
05-09-2023,3164.1855,3673.0024,4059.7861,3282.456573
06-09-2023,3163.7812,3673.7856,4060.5256,3296.589014
07-09-2023,3163.3772,3674.5503,4061.2393,3282.456573
08-09-2023,3162.9746,3675.2986,4061.9285,3296.589014
09-09-2023,3162.5728,3676.0305,4062.594,3282.456573
10-09-2023,3162.173,3676.7463,4063.2358,3296.589014
11-09-2023,3161.7747,3677.4456,4063.8557,3282.456573
12-09-2023,3161.3782,3678.1304,4064.454,3296.589014
13-09-2023,3160.9834,3678.799,4065.0327,3282.456573
14-09-2023,3160.5908,3679.453,4065.5913,3296.589014
15-09-2023,3160.2,3680.0933,4066.1304,3282.456573
16-09-2023,3159.8115,3680.7185,4066.6516,3296.589014
17-09-2023,3159.425,3681.33,4067.155,3282.456573
18-09-2023,3159.0413,3681.9287,4067.6406,3296.589014
19-09-2023,3158.6594,3682.5132,4068.1108,3282.456573
20-09-2023,3158.28,3683.085,4068.5645,3296.589014
21-09-2023,3157.9036,3683.6445,4069.0034,3282.456573
22-09-2023,3157.5288,3684.1914,4069.4277,3296.589014
23-09-2023,3157.1562,3684.7253,4069.837,3282.456573
24-09-2023,3156.787,3685.2483,4070.2327,3296.589014
25-09-2023,3156.4194,3685.7593,4070.6155,3282.456573
26-09-2023,3156.0547,3686.2593,4070.985,3296.589014
27-09-2023,3155.6924,3686.747,4071.343,3282.456573
28-09-2023,3155.332,3687.2246,4071.6882,3296.589014
29-09-2023,3154.9744,3687.692,4072.0217,3282.456573
30-09-2023,3154.619,3688.1482,4072.345,3296.589014
01-10-2023,3154.2651,3688.5942,4072.657,3282.456573
02-10-2023,3153.9143,3689.0303,4072.9578,3296.589014
03-10-2023,3153.565,3689.4565,4073.2495,3282.456573
04-10-2023,3153.218,3689.873,4073.5305,3296.589014
05-10-2023,3152.8728,3690.281,4073.8025,3282.456573
06-10-2023,3152.53,3690.679,4074.0652,3296.589014
07-10-2023,3152.1885,3691.0679,4074.319,3282.456573
08-10-2023,3151.849,3691.4487,4074.5642,3296.589014
09-10-2023,3151.5122,3691.8198,4074.8013,3282.456573
10-10-2023,3151.1765,3692.1833,4075.0293,3296.589014
11-10-2023,3150.8423,3692.5386,4075.2507,3282.456573
12-10-2023,3150.5105,3692.886,4075.4636,3296.589014
13-10-2023,3150.1797,3693.2249,4075.67,3282.456573
14-10-2023,3149.8503,3693.5564,4075.8687,3296.589014
15-10-2023,3149.5232,3693.8801,4076.0605,3282.456573
16-10-2023,3149.1975,3694.1968,4076.246,3296.589014
17-10-2023,3148.8735,3694.5063,4076.425,3282.456573
18-10-2023,3148.5508,3694.8086,4076.5977,3296.589014
19-10-2023,3148.2292,3695.1042,4076.7644,3282.456573
20-10-2023,3147.9094,3695.393,4076.9255,3296.589014
21-10-2023,3147.5913,3695.6753,4077.0808,3282.456573
22-10-2023,3147.275,3695.9507,4077.231,3296.589014
23-10-2023,3146.9592,3696.2205,4077.3757,3282.456573
24-10-2023,3146.6458,3696.4836,4077.5154,3296.589014
25-10-2023,3146.333,3696.7412,4077.65,3282.456573
26-10-2023,3146.0222,3696.9922,4077.7805,3296.589014
27-10-2023,3145.7124,3697.238,4077.9055,3282.456573
28-10-2023,3145.4045,3697.4785,4078.0273,3296.589014
29-10-2023,3145.0974,3697.713,4078.1445,3282.456573
30-10-2023,3144.7925,3697.942,4078.2576,3296.589014
31-10-2023,3144.4883,3698.166,4078.3665,3282.456573
01-11-2023,3144.186,3698.385,4078.4724,3296.589014
02-11-2023,3143.8853,3698.5989,4078.574,3282.456573
03-11-2023,3143.5854,3698.8083,4078.672,3296.589014
04-11-2023,3143.2874,3699.0125,4078.7676,3282.456573
05-11-2023,3142.991,3699.2117,4078.859,3296.589014
06-11-2023,3142.6953,3699.4067,4078.9473,3282.456573
07-11-2023,3142.4014,3699.5974,4079.0327,3296.589014
08-11-2023,3142.109,3699.7832,4079.115,3282.456573
09-11-2023,3141.8179,3699.9653,4079.195,3296.589014
10-11-2023,3141.5278,3700.143,4079.272,3282.456573
11-11-2023,3141.24,3700.3167,4079.3467,3296.589014
12-11-2023,3140.953,3700.486,4079.4185,3282.456573
13-11-2023,3140.6672,3700.6519,4079.4875,3296.589014
14-11-2023,3140.3833,3700.8142,4079.5547,3282.456573
15-11-2023,3140.1006,3700.9727,4079.6194,3296.589014
16-11-2023,3139.8193,3701.1272,4079.6816,3282.456573
17-11-2023,3139.5393,3701.278,4079.7422,3296.589014
18-11-2023,3139.2603,3701.4255,4079.8005,3282.456573
19-11-2023,3138.9834,3701.57,4079.8564,3296.589014
20-11-2023,3138.7073,3701.7112,4079.9106,3282.456573
21-11-2023,3138.4326,3701.8486,4079.9634,3296.589014
22-11-2023,3138.1597,3701.983,4080.0134,3282.456573
23-11-2023,3137.8877,3702.1147,4080.0627,3296.589014
24-11-2023,3137.6165,3702.243,4080.11,3282.456573
25-11-2023,3137.3472,3702.3682,4080.1555,3296.589014
26-11-2023,3137.0793,3702.4915,4080.1992,3282.456573
27-11-2023,3136.8123,3702.611,4080.2417,3296.589014
28-11-2023,3136.547,3702.728,4080.283,3282.456573
29-11-2023,3136.2827,3702.8423,4080.3225,3296.589014
30-11-2023,3136.0193,3702.9543,4080.3608,3282.456573
01-12-2023,3135.758,3703.063,4080.398,3296.589014
02-12-2023,3135.497,3703.1694,4080.4336,3282.456573
03-12-2023,3135.2378,3703.2737,4080.4678,3296.589014
